customer_id,signup_date,age_band,island,loyalty_tier,churn_flag
C000001,2025-05-06,35-44,Barbados,Bronze,0
C000002,2025-09-27,25-34,Jamaica,Silver,0
C000003,2025-02-11,18-24,Trinidad,Silver,0
C000004,2024-11-24,25-34,Barbados,Bronze,0
C000005,2024-07-26,65+,Trinidad,Silver,1
C000006,2024-05-25,25-34,Trinidad,Silver,0
C000007,2024-05-19,35-44,Tobago,Platinum,1
C000008,2024-12-17,25-34,Trinidad,Platinum,0
C000009,2025-10-02,45-54,Tobago,Silver,0
C000010,2025-08-24,25-34,Jamaica,Bronze,0
C000011,2024-02-19,65+,Barbados,Silver,1
C000012,2025-11-06,25-34,Barbados,Bronze,1
C000013,2024-08-16,18-24,Barbados,Bronze,0
C000014,2024-09-14,35-44,Jamaica,Bronze,1
C000015,2024-05-25,25-34,Barbados,Bronze,0
C000016,2025-11-12,25-34,Trinidad,Bronze,0
C000017,2025-05-13,45-54,Trinidad,Bronze,0
C000018,2024-04-13,35-44,Tobago,Gold,0
C000019,2024-05-13,25-34,Trinidad,Gold,0
C000020,2025-03-30,25-34,Tobago,Silver,0
C000021,2025-06-08,18-24,Jamaica,Silver,0
C000022,2025-10-24,25-34,Jamaica,Silver,0
C000023,2024-11-15,35-44,Jamaica,Bronze,0
C000024,2025-07-12,25-34,Trinidad,Bronze,1
C000025,2024-05-18,18-24,Trinidad,Bronze,0
C000026,2025-03-07,45-54,Jamaica,Platinum,0
C000027,2024-07-14,35-44,Barbados,Gold,0
C000028,2024-07-10,55-64,Trinidad,Bronze,1
C000029,2024-12-07,65+,Barbados,Gold,0
C000030,2025-06-14,55-64,Barbados,Bronze,1
C000031,2024-11-14,35-44,Trinidad,Silver,0
C000032,2024-07-24,25-34,Trinidad,Gold,0
C000033,2025-09-28,35-44,Jamaica,Gold,1
C000034,2024-09-22,65+,Trinidad,Bronze,0
C000035,2025-05-11,35-44,Trinidad,Platinum,0
C000036,2024-01-11,25-34,Trinidad,Platinum,0
C000037,2024-09-14,35-44,Tobago,Silver,1
C000038,2024-12-12,35-44,Trinidad,Bronze,0
C000039,2024-11-12,25-34,Trinidad,Silver,0
C000040,2025-06-02,25-34,Jamaica,Silver,0
C000041,2025-01-02,35-44,Jamaica,Silver,0
C000042,2025-10-25,45-54,Trinidad,Gold,0
