customer_id,churn_flag,days_since_last_purchase,total_transactions,total_revenue,avg_order_value,total_items_purchased,avg_discount_received,unique_products,unique_categories,unique_subcategories,customer_lifespan_days,purchase_frequency,total_sessions,total_pages_viewed,avg_pages_per_session,total_cart_abandonments,cart_abandonment_rate,engagement_score,customer_value_score,discount_dependency,is_active,is_dormant,customer_tenure_days,loyalty_tier_encoded,age_band_encoded
C000001,0,89.0,19.0,1361.75,71.67105263157895,27.0,16.57894736842105,18.0,5.0,12.0,641.0,0.849478390461997,4.0,16.0,4.0,1.0,0.25,0.3071101321585903,0.0656305753237502,0.40436456996148906,1,0,270,0,2.0
C000002,0,89.0,5.0,291.16999999999996,58.233999999999995,7.0,15.0,5.0,2.0,4.0,476.0,0.2964426877470356,0.0,0.0,0.0,0.0,0.0,0.2066079295154185,0.018923807178651282,0.36585365853658536,1,0,126,1,1.0
C000003,0,46.0,15.0,4873.99,324.93266666666665,25.0,14.0,15.0,5.0,9.0,539.0,0.7908611599297013,1.0,9.0,9.0,1.0,1.0,0.1168237885462555,0.112989830239443,0.34146341463414637,1,0,354,1,0.0
C000004,0,40.0,15.0,1182.82,78.85466666666666,25.0,16.0,14.0,5.0,13.0,681.0,0.6329113924050633,8.0,44.0,5.5,1.0,0.125,0.4388237885462555,0.05197072099462307,0.3902439024390244,1,0,433,0,1.0
C000005,1,143.0,7.0,865.59,123.6557142857143,13.0,16.428571428571427,7.0,4.0,7.0,263.0,0.7167235494880545,4.0,11.0,2.75,0.0,0.0,0.3312511013215859,0.043214348305438334,0.40069686411149824,0,0,554,1,5.0
C000006,0,45.0,24.0,2701.5,112.5625,39.0,15.208333333333334,23.0,4.0,17.0,616.0,1.1145510835913313,6.0,41.0,6.833333333333333,0.0,0.0,0.4363847283406755,0.09910725232276348,0.37093495934959353,1,0,616,1,1.0
C000007,1,145.0,5.0,512.08,102.41600000000001,5.0,14.0,5.0,3.0,4.0,358.0,0.3865979381443299,1.0,2.0,2.0,1.0,1.0,0.0476079295154185,0.025169740707650396,0.34146341463414637,0,0,622,3,2.0
C000008,0,31.0,37.0,5203.11,140.62459459459458,66.0,14.72972972972973,37.0,5.0,19.0,699.0,1.522633744855967,3.0,14.0,4.666666666666667,0.0,0.0,0.36123201174743025,0.1632889337054249,0.3592617007251154,1,0,410,3,1.0
C000009,0,37.0,8.0,3224.88,403.11,13.0,5.625,7.0,4.0,7.0,680.0,0.3380281690140845,3.0,16.0,5.333333333333333,0.0,0.0,0.3282393538913363,0.06583243410989952,0.13719512195121952,1,0,121,1,3.0
C000010,0,12.0,3.0,60.47,20.156666666666666,5.0,18.333333333333332,3.0,1.0,3.0,192.0,0.4054054054054054,6.0,27.0,4.5,0.0,0.0,0.3899647577092511,0.017134329591369415,0.44715447154471544,1,0,160,0,1.0
C000011,1,121.0,11.0,1115.68,101.42545454545456,18.0,12.727272727272727,11.0,5.0,9.0,604.0,0.5205047318611987,2.0,8.0,4.0,0.0,0.0,0.2965374449339207,0.04436620867349815,0.31042128603104213,0,0,712,1,5.0
C000012,1,154.0,6.0,819.37,136.56166666666667,8.0,23.333333333333332,6.0,3.0,5.0,552.0,0.30927835051546393,2.0,7.0,3.5,1.0,0.5,0.18592951541850222,0.028166512438901843,0.5691056910569106,0,0,86,0,1.0
C000013,0,36.0,3.0,981.58,327.1933333333333,5.0,23.333333333333332,3.0,3.0,3.0,449.0,0.18789144050104384,2.0,7.0,3.5,1.0,0.5,0.1819647577092511,0.0236754341468981,0.5691056910569106,1,0,533,0,0.0
C000014,1,339.0,3.0,99.92999999999999,33.309999999999995,4.0,5.0,3.0,2.0,3.0,278.0,0.2922077922077922,3.0,12.0,4.0,0.0,0.0,0.31096475770925114,0.014000714042122456,0.12195121951219512,0,1,504,0,2.0
C000015,0,56.0,8.0,525.8499999999999,65.73124999999999,11.0,13.75,8.0,4.0,8.0,606.0,0.37735849056603776,4.0,22.0,5.5,2.0,0.5,0.25457268722466964,0.02798336918088818,0.3353658536585366,1,0,616,0,1.0
C000016,0,54.0,11.0,772.84,70.25818181818182,21.0,17.272727272727273,11.0,4.0,11.0,636.0,0.4954954954954955,5.0,15.0,3.0,1.0,0.2,0.3235374449339207,0.038449096649359776,0.42128603104212864,1,0,80,0,1.0
C000017,0,51.0,10.0,1401.75,140.175,13.0,8.5,9.0,5.0,9.0,439.0,0.6396588486140725,4.0,30.0,7.5,0.0,0.0,0.373215859030837,0.05059179249335518,0.2073170731707317,1,0,263,0,3.0
C000018,0,2.0,51.0,4196.28,82.28,79.0,12.549019607843137,46.0,5.0,21.0,699.0,2.0987654320987654,1.0,4.0,4.0,1.0,1.0,0.12440088105726871,0.17599714957466125,0.30607364897178385,1,0,658,2,2.0
C000019,0,11.0,27.0,4379.64,162.2088888888889,42.0,11.11111111111111,27.0,5.0,18.0,605.0,1.2755905511811023,2.0,13.0,6.5,0.0,0.0,0.33768281938325995,0.1332232538056316,0.27100271002710025,1,0,628,2,1.0
C000020,0,1.0,46.0,5497.8099999999995,119.51760869565216,60.0,12.173913043478262,45.0,5.0,19.0,729.0,1.8181818181818181,2.0,7.0,3.5,0.0,0.0,0.3387929515418502,0.18514842432502718,0.29692470837751855,1,0,307,1,1.0
C000021,0,34.0,12.0,1236.62,103.05166666666666,20.0,18.333333333333332,12.0,5.0,10.0,625.0,0.549618320610687,2.0,16.0,8.0,0.0,0.0,0.3298590308370044,0.048091242199187284,0.44715447154471544,1,0,237,1,0.0
C000022,0,8.0,3.0,183.06,61.02,3.0,16.666666666666668,3.0,3.0,3.0,438.0,0.19230769230769232,3.0,7.0,2.3333333333333335,1.0,0.3333333333333333,0.23096475770925112,0.011953115668819063,0.40650406504065045,1,0,99,1,1.0
C000023,0,43.0,8.0,638.09,79.76125,14.0,20.0,7.0,4.0,6.0,629.0,0.3641881638846738,3.0,24.0,8.0,1.0,0.3333333333333333,0.28290602055800296,0.02824776264204113,0.4878048780487805,1,0,442,0,2.0
C000024,1,292.0,10.0,1770.56,177.05599999999998,13.0,11.5,9.0,5.0,8.0,335.0,0.8219178082191781,1.0,4.0,4.0,0.0,0.0,0.270215859030837,0.062062631931162925,0.2804878048780488,0,1,203,0,1.0
C000025,0,13.0,19.0,3582.09,188.53105263157894,29.0,8.68421052631579,19.0,5.0,14.0,693.0,0.7883817427385892,5.0,11.0,2.2,0.0,0.0,0.36771013215859033,0.09759187222684193,0.21181001283697048,1,0,623,0,0.0
C000026,0,3.0,144.0,17808.16,123.66777777777777,226.0,12.777777777777779,132.0,5.0,25.0,726.0,5.714285714285714,4.0,20.0,5.0,1.0,0.25,0.4803083700440529,0.5806078751386996,0.31165311653116534,1,0,330,3,3.0
C000027,0,50.0,42.0,7974.04,189.85809523809525,65.0,11.904761904761905,42.0,5.0,19.0,678.0,1.7796610169491525,6.0,42.0,7.0,2.0,0.3333333333333333,0.39483994126284877,0.21777113426521716,0.29036004645760743,1,0,566,2,2.0
C000028,1,730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,4.0,0.0,0.0,0.307,0.0,0.0,0,1,570,0,4.0
C000029,0,1.0,23.0,3135.73,136.33608695652174,37.0,14.782608695652174,22.0,5.0,15.0,723.0,0.9163346613545816,5.0,22.0,4.4,1.0,0.2,0.3505964757709251,0.09807574910837301,0.3605514316012725,1,0,420,2,5.0
