session_id,date,customer_id,channel,pages_viewed,cart_abandoned
S0000001,2024-03-25,C003201,Organic Search,1,0
S0000002,2024-09-16,C003366,Direct,2,1
S0000003,2025-12-04,C000582,Organic Search,2,0
S0000004,2025-07-22,C000867,Direct,5,1
S0000005,2024-08-13,C008769,Organic Search,3,0
S0000006,2025-07-23,C009384,Paid Search,9,0
S0000007,2025-08-17,C012118,Direct,4,1
S0000008,2026-01-27,C014491,Social,13,1
S0000009,2025-06-30,C011030,Direct,8,0
S0000010,2024-05-07,C007346,Organic Search,1,1
S0000011,2025-05-01,C002408,Social,7,0
S0000012,2024-07-09,C007391,Organic Search,16,1
S0000013,2025-03-07,C004625,Organic Search,11,0
S0000014,2024-08-09,C014503,Direct,3,0
S0000015,2025-08-18,C010208,Direct,9,0
S0000016,2025-01-24,C017751,Organic Search,2,0
S0000017,2024-09-15,C001136,Organic Search,2,0
S0000018,2024-07-21,C017194,Organic Search,4,0
S0000019,2025-07-19,C016610,Email,1,0
S0000020,2024-07-28,C006524,Organic Search,7,0
S0000021,2025-08-03,C005561,Direct,1,0
S0000022,2024-06-30,C006310,Direct,5,1
S0000023,2025-03-06,C002754,Social,5,0
S0000024,2024-04-12,C007130,Direct,1,1
S0000025,2025-05-06,C016812,Email,2,1
S0000026,2025-11-20,C005591,Direct,2,0
S0000027,2025-12-08,C007949,Paid Search,9,0
S0000028,2024-06-18,C003881,Organic Search,1,1
S0000029,2025-02-10,C003819,Social,16,0
S0000030,2024-09-06,C001535,Direct,3,0
S0000031,2024-11-03,C016527,Organic Search,8,0
S0000032,2025-04-07,C004624,Direct,1,0
S0000033,2024-07-30,C006015,Social,2,0
S0000034,2024-02-27,C013601,Referral,11,0
S0000035,2025-03-07,C009596,Organic Search,5,0
S0000036,2025-03-02,C004994,Social,9,1
S0000037,2024-06-03,C000316,Direct,6,0
S0000038,2025-12-16,C016676,Paid Search,4,0
S0000039,2024-05-29,C002933,Organic Search,9,1
S0000040,2024-05-20,C005806,Direct,3,0
S0000041,2025-03-17,C011401,Direct,7,0
S0000042,2024-12-12,C003513,Email,4,0
S0000043,2025-12-02,C012371,Organic Search,4,0
S0000044,2025-08-09,C003736,Organic Search,2,1
S0000045,2026-01-09,C003562,Organic Search,3,0
S0000046,2025-03-02,C006984,Direct,10,0
S0000047,2024-08-20,C005022,Social,3,0
S0000048,2024-07-09,C001116,Referral,1,0
S0000049,2024-11-13,C014517,Direct,8,0
S0000050,2024-11-26,C012647,Social,3,0
S0000051,2025-02-02,C017920,Paid Search,1,0
S0000052,2024-03-19,C016608,Email,11,0
S0000053,2025-10-19,C000192,Social,1,0
S0000054,2025-03-12,C015669,Social,2,0
S0000055,2024-09-08,C010046,Paid Search,2,0
S0000056,2024-03-03,C000640,Social,5,0
S0000057,2024-09-25,C009994,Organic Search,1,0
S0000058,2025-07-13,C010044,Organic Search,3,0
S0000059,2024-04-11,C016163,Direct,5,0
S0000060,2026-01-27,C005775,Paid Search,14,0
S0000061,2024-10-03,C004142,Direct,2,0
S0000062,2024-07-02,C011370,Paid Search,1,0
S0000063,2025-04-16,C001520,Social,17,1
S0000064,2025-08-19,C000526,Social,2,1
S0000065,2025-07-15,C013968,Email,2,0
S0000066,2025-06-05,C003229,Referral,1,0
S0000067,2024-02-16,C004860,Paid Search,7,0
S0000068,2026-01-03,C011181,Organic Search,4,0
S0000069,2025-05-29,C012091,Direct,6,0
S0000070,2025-11-15,C017250,Referral,9,1
S0000071,2025-12-25,C006606,Direct,3,0
S0000072,2025-03-26,C009422,Paid Search,8,1
S0000073,2025-10-15,C001143,Referral,2,0
S0000074,2024-04-09,C016822,Email,5,0
S0000075,2025-04-14,C003285,Direct,2,1
