feature,importance
is_active,0.5195331982388925
days_since_last_purchase,0.47808888042356545
cart_abandonment_rate,0.001335133972661214
total_cart_abandonments,0.0010427873648308956
total_revenue,1.4946185174085614e-14
avg_order_value,8.615256257016371e-15
customer_value_score,5.789318666936795e-15
avg_pages_per_session,5.365646310843092e-15
engagement_score,5.1441538690536815e-15
customer_lifespan_days,2.372271420470917e-15
avg_discount_received,2.131049614695838e-15
purchase_frequency,2.0689560494153207e-15
customer_tenure_days,1.9523614783154177e-15
discount_dependency,1.279643033324993e-15
total_pages_viewed,2.640975437697542e-16
unique_products,1.3110899614681368e-19
unique_categories,0.0
total_items_purchased,0.0
total_transactions,0.0
total_sessions,0.0
unique_subcategories,0.0
is_dormant,0.0
loyalty_tier_encoded,0.0
age_band_encoded,0.0
